month,loadings,distinct_vessels,fgis_matched_loadings,fgis_coverage_pct,tons_fgis_matched,tons_per_matched_loading
2023-08,79,77,67,84.8,2540074,37912
2023-09,102,96,92,90.2,4554285,49503
2023-10,118,115,111,94.1,5768027,51964
2023-11,102,99,83,81.4,3979148,47942
2023-12,133,128,120,90.2,5528982,46075
2024-01,139,131,129,92.8,5948920,46116
2024-02,111,108,98,88.3,4487605,45792
2024-03,119,115,108,90.8,4742960,43916
2024-04,103,97,94,91.3,3718090,39554
2024-05,92,90,81,88.0,3092742,38182
2024-06,87,85,79,90.8,2990977,37860
2024-07,109,103,102,93.6,3913595,38369
2024-08,107,103,102,95.3,3964207,38865
2024-09,124,121,120,96.8,5377933,44816
2024-10,138,133,132,95.7,6227470,47178
2024-11,148,147,144,97.3,7309696,50762
2024-12,134,130,127,94.8,6221396,48987
2025-01,132,129,130,98.5,5992303,46095
2025-02,122,116,119,97.5,5460494,45887
2025-03,126,121,122,96.8,5194270,42576
2025-04,106,102,104,98.1,4006139,38521
2025-05,113,110,103,91.2,4168513,40471
2025-06,112,111,103,92.0,3884411,37713
2025-07,117,114,108,92.3,4249810,39350
2025-08,132,127,128,97.0,5109646,39919
2025-09,137,132,132,96.4,5852149,44334
2025-10,131,127,122,93.1,5608499,45971
2025-11,129,122,124,96.1,5559953,44838
2025-12,128,121,122,95.3,5755535,47177
2026-01,144,141,141,97.9,6796461,48202
2026-02,117,114,113,96.6,5055722,44741
2026-03,138,136,133,96.4,5705812,42901
2026-04,116,109,112,96.6,4679433,41781
2026-05,116,108,113,97.4,4506217,39878
2026-06,101,98,95,94.1,3951701,41597
2026-07,92,90,88,95.7,3465979,39386
