agency,facility,legs,chargeable_legs,revenue
"(no agency)","ADM Destrehan",8,8,77000
"(no agency)","IMTT Gretna",19,19,66500
"(no agency)","IMC Faustina",16,16,56000
"(no agency)","Exxon Baton Rouge",13,13,45500
"(no agency)","ADM AMA",4,4,35000
"(no agency)","CHS Myrtle Grove",3,3,31500
"(no agency)","KM IMT Myrtle Grove",3,3,31500
"(no agency)","Americas Styrenics",6,6,21000
"(no agency)","Cargill Reserve",2,2,21000
"(no agency)","Nashville Ave",18,18,17750
"(no agency)","IMTT St Rose",5,5,17500
"(no agency)","MPLX Mt Airy",5,5,17500
"(no agency)","ADM Reserve",1,1,10500
"(no agency)","ARTCO Destrehan Buoys",1,1,10500
"(no agency)","Zen-Noh",1,1,10500
"(no agency)","AST Chalmette Slip",2,2,10000
"(no agency)","Julia St",2,2,7000
"(no agency)","MPLX Garyville",2,2,7000
"(no agency)","Shell Norco",2,2,7000
"(no agency)","Valero St Charles",2,2,7000
"(no agency)","Avondale Global Gateway",1,1,5000
"(no agency)","Henry Clay Ave",1,1,5000
"(no agency)","Baton Rouge General Cargo",1,1,3500
"(no agency)","CFI Donaldsonville",1,1,3500
"(no agency)","Cooper Darrow",1,1,3500
"(no agency)","Cornerstone",1,1,3500
"(no agency)","Dow Taft",1,1,3500
"(no agency)","Genesis Baton Rouge",1,1,3500
"(no agency)","Harmony St",1,1,3500
"(no agency)","Mile 110 Buoys",1,1,3500
"(no agency)","PBF Chalmette",1,1,3500
"(no agency)","Placid Oil",1,1,3500
"(no agency)","Plains St James",1,1,3500
"(no agency)","Shintech",1,1,3500
"(no agency)","Total Carville",1,1,3500
"(no agency)","Valero Meraux",1,1,3500
"(no agency)","Napoleon Ave",1,1,750
"(no agency)","(never berthed)",63,0,0
"(no agency)","Buck Kreihs",2,0,0
"Bertel","IMTT St Rose",245,245,857500
"Bertel","KMI Harvey",73,73,255500
"Bertel","PCS Nitrogen",54,54,189000
"Bertel","Cargill Molasses",49,49,171500
"Bertel","Stolthaven",42,42,147000
"Bertel","Dow Taft",41,41,143500
"Bertel","Blackwater Westwego",38,38,133000
"Bertel","Americas Styrenics",23,23,80500
"Bertel","Blackwater Harvey",21,21,73500
"Bertel","Shintech",20,20,70000
"Bertel","IMTT Avondale",19,19,66500
"Bertel","IMTT Geismar",19,19,66500
"Bertel","Total Carville",19,19,66500
"Bertel","Valero St Charles",18,18,63000
"Bertel","LBC Sunshine",14,14,49000
"Bertel","Apex Mt Airy",11,11,38500
"Bertel","Dow Missouri",11,11,38500
"Bertel","KMI Seven Oaks",10,10,35000
"Bertel","Willow Glen",10,10,35000
"Bertel","IMTT Gretna",9,9,31500
"Bertel","Shell Geismar",8,8,28000
"Bertel","Exxon Baton Rouge",7,7,24500
"Bertel","CFI Donaldsonville",6,6,21000
"Bertel","Occidental Taft",6,6,21000
"Bertel","PBF Chalmette",5,5,17500
"Bertel","Shell Norco",4,4,14000
"Bertel","Axiall Plaquemine",3,3,10500
"Bertel","Baker Hughes",3,3,10500
"Bertel","Magellan Marrero",3,3,10500
"Bertel","AMSTAR",2,2,7000
"Bertel","Cornerstone",2,2,7000
"Bertel","KMI St Gabriel",2,2,7000
"Bertel","Baton Rouge General Cargo",1,1,3500
"Bertel","Cargill Reserve",1,1,3500
"Bertel","DRAX",1,1,3500
"Bertel","Genesis Baton Rouge",1,1,3500
"Bertel","Vulcan St Rose Mooring",1,1,3500
"Bertel","(never berthed)",20,0,0
"Biehl","KM IMT Myrtle Grove",19,19,199500
"Biehl","UBT Davant",19,19,199500
"Biehl","Avondale Global Gateway",39,39,195000
"Biehl","Nashville Ave",142,142,127750
"Biehl","KMI Harvey",33,33,115500
"Biehl","Crosstex Energy",12,12,42000
"Biehl","AST Meraux Buoys",3,3,31500
"Biehl","Shell Norco",8,8,28000
"Biehl","Harmony St",5,5,25000
"Biehl","Blackwater Westwego",7,7,24500
"Biehl","Reserve Buoys",2,2,21000
"Biehl","Placid Oil",5,5,17500
"Biehl","7th Street",3,3,15000
"Biehl","IMTT Avondale",4,4,14000
"Biehl","ABT Burnside",1,1,10500
"Biehl","ADM AMA",1,1,10500
"Biehl","LDC Port Allen",1,1,10500
"Biehl","Mile 110 Buoys",1,1,10500
"Biehl","AST Chalmette Slip",2,2,10000
"Biehl","MPLX Mt Airy",2,2,7000
"Biehl","Napoleon Ave",8,8,6000
"Biehl","Americas Styrenics",1,1,3500
"Biehl","Axiall Plaquemine",1,1,3500
"Biehl","Blackwater Harvey",1,1,3500
"Biehl","CFI Donaldsonville",1,1,3500
"Biehl","Dow Missouri",1,1,3500
"Biehl","(never berthed)",22,0,0
"Blue Water","Zen-Noh",332,332,3486000
"Blue Water","CHS Myrtle Grove",124,124,1302000
"Blue Water","Cargill Westwego",60,60,630000
"Blue Water","Cargill Reserve",58,58,609000
"Blue Water","Nucor Steel",56,56,588000
"Blue Water","ADM AMA",52,52,546000
"Blue Water","LDC Port Allen",45,45,472500
"Blue Water","Bunge Destrehan",42,42,441000
"Blue Water","Cooper Darrow",40,40,420000
"Blue Water","ADM Reserve",29,29,304500
"Blue Water","ADM Destrehan",25,25,262500
"Blue Water","ARTCO Destrehan Buoys",25,25,262500
