agency,port_calls,legs,distinct_vessels,facilities_served,chargeable_legs,revenue,avg_revenue_per_chargeable_leg
"Norton Lilly",2928,3012,1559,63,2858,17288500,6049
"Southport",1661,1680,1262,56,1659,16258500,9800
"HOST",1769,1874,1381,58,1803,15329000,8502
"Blue Water",1002,1058,842,31,1042,10909000,10469
"Gulf Inland",669,717,456,52,705,5636000,7994
"General Steamship",656,720,526,52,670,5413500,8080
"Tricon",634,686,431,42,682,4926500,7224
"Nova",443,450,356,21,441,4623500,10484
"General Maritime",465,483,219,47,476,3487500,7327
"Newship",335,366,242,17,362,3392500,9372
"Bertel",820,820,425,37,803,2810500,3500
"Inchcape",711,714,336,48,695,2422500,3486
"NordSud",270,314,195,30,311,2035500,6545
"GAC",705,705,358,32,561,1998500,3562
"Moran Shipping",410,421,305,39,415,1760500,4242
"Celtic",230,252,106,28,251,1681500,6699
"Biehl",341,344,174,26,322,1138250,3535
"NolaPort",450,450,11,2,450,1125000,2500
"Capes",142,149,129,33,146,1001000,6856
"Gulf Harbor",208,209,163,27,207,871500,4210
"Riverside",74,82,68,14,82,751000,9159
"K3 Maritime",180,180,151,19,178,630000,3539
"Navigo",57,57,57,10,57,598500,10500
"VertomCory",179,179,20,5,169,593000,3509
"(no agency)",201,201,72,40,133,577500,4342
"Valhalla",108,109,81,16,107,555500,5192
"Maritime Endeavors",86,86,80,22,85,400000,4706
"Lott",110,110,7,5,109,381500,3500
"Mentz",30,30,30,4,30,315000,10500
"Wilhelmsen",43,47,42,17,45,309000,6867
"Fillette Green",43,44,31,18,44,282000,6409
"Riverbend",77,77,59,9,76,266000,3500
"Lighthouse",67,67,63,13,67,234500,3500
"Seaport Hub",69,69,54,9,65,227500,3500
"Riley-Sherman",63,63,45,16,61,213500,3500
"Intercruises",42,42,8,3,41,102500,2500
