facility,facility_type,port_calls,legs,distinct_vessels,chargeable_legs,revenue,avg_revenue_per_chargeable_leg
"Zen-Noh","Elevator",835,835,699,835,8767500,10500
"ADM AMA","Elevator",589,589,491,589,6177500,10488
"ADM Destrehan","Elevator",525,525,429,525,5505500,10487
"Cargill Reserve","Elevator",487,487,420,487,5106500,10486
"Cooper Darrow","Mid-Stream",485,486,400,486,5096000,10486
"Cargill Westwego","Elevator",384,384,354,384,4032000,10500
"CHS Myrtle Grove","Elevator",363,363,325,363,3811500,10500
"AST St James","Mid-Stream",352,353,329,353,3706500,10500
"ADM Reserve","Elevator",343,343,320,343,3601500,10500
"UBT Davant","Bulk Cargo",325,325,297,325,3412500,10500
"Convent Marine Terminal","Bulk Cargo",308,308,281,308,3234000,10500
"Bunge Destrehan","Elevator",306,306,278,306,3213000,10500
"Mile 110 Buoys","Mid-Stream",292,292,274,292,3059000,10476
"AST Meraux Buoys","Mid-Stream",289,290,273,290,3038000,10476
"ARTCO Destrehan Buoys","Mid-Stream",236,236,227,236,2471000,10470
"LDC Port Allen","Elevator",228,228,203,228,2394000,10500
"Nashville Ave","General Cargo",1356,1356,411,1356,2330250,1718
"Reserve Buoys","Mid-Stream",205,205,195,205,2152500,10500
"Valero St Charles","Refinery",583,583,431,583,2040500,3500
"IMTT St Rose","Tank Storage",573,573,384,573,2005500,3500
"ABT Burnside","Bulk Cargo",171,171,161,171,1795500,10500
"AST Chalmette Slip","General Cargo",351,354,243,354,1770000,5000
"MGMT","Mid-Stream",144,144,130,144,1512000,10500
"AST Chalmette Buoys","Mid-Stream",136,136,114,136,1428000,10500
"Exxon Baton Rouge","Refinery",394,394,255,394,1379000,3500
"MPLX Garyville","Refinery",389,389,298,389,1368500,3518
"Noranda Alumina","Bulk Cargo",126,126,11,126,1323000,10500
"KM IMT Myrtle Grove","Bulk Cargo",124,124,120,124,1295000,10444
"Cooper Dockside","Mid-Stream",117,117,115,117,1228500,10500
"Avondale Global Gateway","General Cargo",232,232,205,232,1160000,5000
"Nucor Steel","Bulk Cargo",109,109,82,109,1144500,10500
"Stolthaven","Tank Storage",315,315,189,315,1102500,3500
"Crosstex Energy","Tank Storage",284,284,16,284,994000,3500
"Erato St","Cruise",375,375,10,373,932500,2500
"ARTCO Buoys","Mid-Stream",88,88,87,88,924000,10500
"AST Arabi Dolphins","Mid-Stream",87,87,74,87,904000,10391
"DRAX","Bulk Cargo",92,92,89,92,840000,9130
"KMI Harvey","Tank Storage",209,209,169,209,731500,3500
"IMTT Geismar","Tank Storage",208,208,126,208,728000,3500
"PCS Nitrogen","Chemical Plant",123,123,60,123,710500,5776
"Shell Norco","Refinery",182,182,134,182,637000,3500
"Venture Global","LNG",177,177,100,177,619500,3500
"7th Street","General Cargo",120,120,103,120,600000,5000
"CFI Donaldsonville","Chemical Plant",171,171,107,171,598500,3500
"PBF Chalmette","Refinery",160,160,126,160,560000,3500
"Valero Meraux","Refinery",149,149,129,149,528500,3547
"CII Rain Gramercy","Bulk Cargo",49,49,43,49,514500,10500
"IMTT Gretna","Tank Storage",109,109,66,109,381500,3500
"MPLX Mt Airy","Tank Storage",109,109,90,109,381500,3500
"Blackwater Harvey","Tank Storage",108,108,43,108,378000,3500
"Blackwater Westwego","Tank Storage",101,101,87,101,353500,3500
