agency,port_calls,legs,chargeable_legs,billable_fee,avg_fee_per_chargeable_leg
Norton Lilly,7334,7528,7275,41243000.0,5669.0
Southport,4282,4333,4237,40415500.0,9539.0
HOST,3693,3911,3764,32873000.0,8734.0
Blue Water,2444,2620,2574,26870000.0,10439.0
Gulf Inland,1802,1972,1899,15701000.0,8268.0
General Steamship,1647,1811,1705,13214500.0,7750.0
Tricon,1629,1761,1687,12863500.0,7625.0
Nova,1042,1054,1032,10528500.0,10202.0
General Maritime,1227,1276,1254,9361500.0,7465.0
Newship,918,1004,988,8981000.0,9090.0
Inchcape,1829,1853,1819,6621750.0,3640.0
Bertel,1765,1765,1731,6058500.0,3500.0
NordSud,738,849,835,5317000.0,6368.0
Moran Shipping,1247,1267,1227,5022000.0,4093.0
Biehl,1082,1099,1055,4842250.0,4590.0
Celtic,655,709,683,4240500.0,6209.0
GAC,1362,1363,1173,4175500.0,3560.0
Gulf Harbor,787,795,770,3413500.0,4433.0
NolaPort,954,954,950,2375000.0,2500.0
K&C,190,198,185,1688500.0,9127.0
Fillette Green,181,190,187,1683000.0,9000.0
Maritime Endeavors,365,367,329,1487000.0,4520.0
Riverbend,405,405,385,1347500.0,3500.0
Wilhelmsen,165,177,167,1295000.0,7754.0
K3 Maritime,373,373,360,1267000.0,3519.0
Riverside,118,128,128,1217500.0,9512.0
Mentz,99,99,98,1029000.0,10500.0
Capes,143,150,146,1001000.0,6856.0
Riley-Sherman,251,251,235,822500.0,3500.0
Lott,223,223,221,773500.0,3500.0
Lighthouse,196,196,186,651000.0,3500.0
Valhalla,120,121,118,608500.0,5157.0
Navigo,57,57,57,598500.0,10500.0
VertomCory,178,178,168,589500.0,3509.0
Seaport Hub,162,162,151,528500.0,3500.0
Intercruises,49,49,48,120000.0,2500.0
Page and Jones,11,12,9,50500.0,5611.0
